text,Sentiment,Score,date
@atiku Salutation is not Love. #Obi is coming,NEGATIVE,0.9948480129241944,2023-01-23 20:25:14+00:00
It is home coming for His Excellency Atiku Abubakar n his recovering team to Delta State 2moro 24th Jan. 2023. It i… https://t.co/QY9tGV4DuX,POSITIVE,0.9817227721214294,2023-01-23 21:35:37+00:00
Distinguished Senator @ChimarokeNamani will cause sleepless night for a lot of people tonight. He has always mainta… https://t.co/iidN21ChrR,POSITIVE,0.8726702928543091,2023-01-23 19:25:00+00:00
Hmmm just vote #obidatti https://t.co/G57qsqvEIq,NEGATIVE,0.9959360361099244,2023-01-24 01:05:47+00:00
@renoomokri Why talking about Kwankwaso and Obi? Tell Nigerians about Atiku. Do your job to the very last day of Fe… https://t.co/LrsxY7NzJZ,NEGATIVE,0.9891263842582704,2023-01-23 22:23:11+00:00
@OlaIsEverywhere @itzz_blitz1 very foolish set of ppl oh my God. Franchise @hrw takenote  of this violence before o… https://t.co/aDcOiKj8TW,NEGATIVE,0.9994840621948242,2023-01-23 21:31:53+00:00
Our big boss @PeterObi demonstrate to us the #ObiDients  the right way to use the #BallotPaper on the day of electi… https://t.co/KOkEZh597T,POSITIVE,0.9619252681732178,2023-01-23 21:30:26+00:00
The kind of transparency we need ❤️😂#PeterObi4President2023 #obedient #Obidatti https://t.co/7gFaIK3aW3,POSITIVE,0.8929418325424194,2023-01-23 21:30:20+00:00
@GODSVISIONTV1 @solakafinta Sola I support #Obidatti....we need money to flag up our president campaign rally in #ILE-IFE,NEGATIVE,0.9942625164985656,2023-01-23 20:55:25+00:00
@alakowe_e #ObiDatti all the way.,POSITIVE,0.7785687446594238,2023-01-23 20:23:19+00:00
We no dey gi shishi. OBIDatti is organic. I've seen new akwete that I'll wear on Obi's inauguration come May 29.… https://t.co/8CYnUDyBYV,POSITIVE,0.9962705373764038,2023-01-23 20:21:49+00:00
We've been saying this for long. Sahara Reporters are some agents of anarchy. Same with that Gazette. There trying… https://t.co/VuduQSEWOg,NEGATIVE,0.9985968470573424,2023-01-23 20:06:03+00:00
APC campaign in Bauchi flopped because the gods never wanted Bauchi people to hear the lies that Buhari and Tinubu… https://t.co/VTo5S2LkQL,NEGATIVE,0.9995172023773192,2023-01-23 19:59:31+00:00
@Olusegun_saint @channelstv Doubt the Lagos was a super slum assertion by Shittima? Watch this video… https://t.co/0oun6ciI9r,NEGATIVE,0.9980801343917848,2023-01-24 01:12:25+00:00
That people with more than '50 SHADES OF GREY' around them can be on the ballot is already an indictment on how low… https://t.co/wdnTZCYW5v,NEGATIVE,0.9997389912605286,2023-01-23 20:49:05+00:00
Incoming President 🇳🇬 #NigeriaDecides2023 #PeterObiForPresident https://t.co/5vonTsC2H9,NEGATIVE,0.9888468384742736,2023-02-02 21:01:42+00:00
You have rallied and campaigned for your presidential candidate. But what is your candidate's path to Aso Rock? Plo… https://t.co/dWmrWiWYuP,NEGATIVE,0.9918060302734376,2023-02-02 20:49:31+00:00
What happened in Osun today is a proof of Street Credibility! The people have evidently shown who the incoming CnC… https://t.co/q0xchtytEM,POSITIVE,0.9852126836776732,2023-02-02 20:40:47+00:00
Drone shots of #TinubuInOsun today. Beautiful sight to behold. Tinubu is coming.#NigeriaDecides2023 https://t.co/d0afiZK6Ud,POSITIVE,0.9986407160758972,2023-02-02 20:34:37+00:00
@fkeyamo @realFFK @OfficialAPCNg @NgLabour @PeterObi #NigeriaDecides2023 #ObiDattiInZamfara #ObiDattiInKano… https://t.co/puO49ZCwxJ,NEGATIVE,0.9856640100479126,2023-02-02 20:26:46+00:00
@charlesaniagolu #arisenews #NigeriaDecides2023 #bestnewschanel big congratulations to arise news on it’s 10th anni… https://t.co/pr0o6Oed62,POSITIVE,0.9609307050704956,2023-02-02 19:59:33+00:00
